"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"IT","CARESER",635,19679999.0000000,19669999.0000000,4.7180000,-390,,,,,
"IT","CARESER",635,19689999.0000000,19679999.0000000,4.7180000,260,,,,,
"IT","CARESER",635,19699999.0000000,19689999.0000000,4.7180000,0,,,,,
"IT","CARESER",635,19709999.0000000,19699999.0000000,4.7180000,-630,,,,,
"IT","CARESER",635,19719999.0000000,19709999.0000000,,-650,,,," PSFG (1977): FoG 1970-1975 (Vol. III).",
"IT","CARESER",635,19729999.0000000,19719999.0000000,,400,,,," PSFG (1977): FoG 1970-1975 (Vol. III).",
"IT","CARESER",635,19739999.0000000,19729999.0000000,,-1280,,,," PSFG (1977): FoG 1970-1975 (Vol. III).",
"IT","CARESER",635,19749999.0000000,19739999.0000000,,-320,,,," PSFG (1977): FoG 1970-1975 (Vol. III).",
"IT","CARESER",635,19750930.0000000,19741001.0000000,4.6800000,170,,,," PSFG (1977): FoG 1970-1975 (Vol. III).",
"IT","CARESER",635,19761008.0000000,19751001.0000000,4.6800000,-270,,,," PSFG (1985): FoG 1975-1980 (Vol. IV).",
"IT","CARESER",635,19771005.0000000,19761001.0000000,4.6800000,990,,,," PSFG (1985): FoG 1975-1980 (Vol. IV).",
"IT","CARESER",635,19781012.0000000,19771001.0000000,4.6800000,80,,,," PSFG (1985): FoG 1975-1980 (Vol. IV).",
"IT","CARESER",635,19791003.0000000,19781001.0000000,4.6800000,-180,,,," PSFG (1985): FoG 1975-1980 (Vol. IV).",
"IT","CARESER",635,19809999.0000000,19799999.0000000,4.8290000,10,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19819999.0000000,19809999.0000000,4.8290000,-840,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19829999.0000000,19819999.0000000,4.8290000,-1680,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19839999.0000000,19829999.0000000,4.8290000,-790,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19841014.0000000,19831021.0000000,4.8300000,-590,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19859999.0000000,19849999.0000000,4.8290000,-760,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 3350, AAR = 3."
"IT","CARESER",635,19861001.0000000,19850929.0000000,4.8300000,-1140,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19871001.0000000,19861002.0000000,4.8300000,-1640,,,,"Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19881001.0000000,19871002.0000000,4.8300000,-1010,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19891007.0000000,19881002.0000000,4.8300000,-820,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19901006.0000000,19891008.0000000,4.8300000,-1580,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19911010.0000000,19901007.0000000,3.8570000,-1730,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19921015.0000000,19911011.0000000,3.8570000,-1200,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19930823.0000000,19921016.0000000,3.8570000,-300,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19941007.0000000,19930824.0000000,3.8570000,-1740,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
"IT","CARESER",635,19951015.0000000,19941008.0000000,3.8570000,-1080,,"Zanon G. (Upa/DG)","Upa/DG: Department of Geography, University of Padua","Data from Dyurgerov, M.(2002): [2, 3, 4, 5, 6, 69, 75, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",
