PU;NAME;WGMS_ID;SURVEY_DATE;REFERENCE_DATE;AREA;ANN_BAL;ANN_BAL_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
AQ;ALBERICH;3922;19729999;19719999;;20;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;ALBERICH;3922;19739999;19729999;;30;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;ALBERICH;3922;19749999;19739999;;-20;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;ALBERICH;3922;19759999;19749999;;10;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;ANVERS I ICE CAP;3954;19669999;19659999;;44;;;;"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.";Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years.
AQ;ANVERS I ICE CAP;3954;19679999;19669999;;44;;;;"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.";Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years.
AQ;BAHIA DEL DIABLO;2665;20000229;19990301;12.9;-570;30;Pedro Skvarca, Hernán De Angelis, Evgeniy Ermolin;División Glaciología, Instituto Antártico Argentino, Cerrito 1248, Argent;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20010228;20000301;12.9;-60;30;Pedro Skvarca, Hernán De Angelis, Evgeniy Ermolin;División Glaciología, Instituto Antártico Argentino, Cerrito 1248, Argent;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20020228;20010301;12.9;-560;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20030228;20020301;12.9;-180;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20040229;20030301;12.9;-120;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20050228;20040301;12.9;-140;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20060228;20050301;12.9;-450;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20070228;20060301;12.9;-140;30;Skvarca P. (IAA), Ermolin E. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20080229;20070301;12.9;-440;30;Skvarca P. (IAA), Ermolin E. (IAA), Marinsek S. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
AQ;BAHIA DEL DIABLO;2665;20090228;20080301;12.9;-330;30;Skvarca P. (IAA), Ermolin E. (IAA), Marinsek S. (IAA);IAA: División Glaciología, Instituto Antártico Argentino;;Series has been revised according to new glacier area (Marinsek, 2013)
